,user_id,name,username,following_agentid_list,previous_tweets,user_char,description
0,38210037,帧率警察,游00_帧率警察,[],[],硬核挑刺看参数,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
1,36212060,手柄阿杰,游01_手柄阿杰,[32],[],关注手感帧率和优化,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
2,282859010,魂系受苦人,游02_魂系受苦人,[32],[],会拿实际游玩体验反驳,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
3,33961330,显卡小陈,游03_显卡小陈,[32],[],喜欢比较平台差异,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
4,21687246,主机双修党,游04_主机双修党,[],[],语气直接但懂游戏,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
5,2125671,开荒队长,游05_开荒队长,[],[],硬核挑刺看参数,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
6,429707643,MOD收藏家,游06_MOD收藏家,[],[],关注手感帧率和优化,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
7,446811905,排位破防中,游07_排位破防中,[32],[],会拿实际游玩体验反驳,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
8,18138649,剧情考据员,游08_剧情考据员,[32],[],喜欢比较平台差异,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
9,14529063,像素老炮,游09_像素老炮,[32],[],语气直接但懂游戏,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
10,837677670,电竞椅测评,游10_电竞椅测评,[103],[],硬核挑刺看参数,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
11,124851931,独立游戏猎人,游11_独立游戏猎人,[32],[],关注手感帧率和优化,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
12,31734795,服务器延迟怪,游12_服务器延迟怪,[32],[],会拿实际游玩体验反驳,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
13,14934122,成就党阿森,游13_成就党阿森,[32],[],喜欢比较平台差异,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
14,105779761,键鼠洁癖,游14_键鼠洁癖,[32],[],语气直接但懂游戏,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
15,2788072188,老任信徒,游15_老任信徒,[],[],硬核挑刺看参数,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
16,268065930,开放世界迷路,游16_开放世界迷路,[32],[],关注手感帧率和优化,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
17,35654766,打击感研究所,游17_打击感研究所,[32],[],会拿实际游玩体验反驳,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
18,16509845,补丁观察员,游18_补丁观察员,[32],[],喜欢比较平台差异,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
19,2531945155,云存档失踪,游19_云存档失踪,[32],[],语气直接但懂游戏,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
20,18242160,帧率警察2,游20_帧率警察2,"[55, 32]",[],硬核挑刺看参数,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
21,16529278,手柄阿杰2,游21_手柄阿杰2,[32],[],关注手感帧率和优化,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
22,158743792,魂系受苦人2,游22_魂系受苦人2,[],[],会拿实际游玩体验反驳,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
23,48005920,显卡小陈2,游23_显卡小陈2,[32],[],喜欢比较平台差异,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
24,15182691,主机双修党2,游24_主机双修党2,[],[],语气直接但懂游戏,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
25,187260439,开荒队长2,游25_开荒队长2,[32],[],硬核挑刺看参数,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
26,127677830,MOD收藏家2,游26_MOD收藏家2,[32],[],关注手感帧率和优化,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
27,103352503,排位破防中2,游27_排位破防中2,[32],[],会拿实际游玩体验反驳,硬核玩家用户，围绕帧率、优化、手感、玩法深度、平台体验和口碑发言。
